STATUS | wrapper  | 2018/04/03 01:25:34 | Base configuration file is /usr/local/hpe/oo/central/conf/central-wrapper.conf
STATUS | wrapper  | 2018/04/03 01:25:34 | Found #include file in /usr/local/hpe/oo/central/conf/central-wrapper.conf: %CENTRAL_HOME%/conf/wrapper-central-license.conf
STATUS | wrapper  | 2018/04/03 01:25:34 |   After environment variable replacements: /usr/local/hpe/oo/central/conf/wrapper-central-license.conf
STATUS | wrapper  | 2018/04/03 01:25:34 |   Reading included configuration file, /usr/local/hpe/oo/central/conf/wrapper-central-license.conf
STATUS | wrapper  | 2018/04/03 01:25:34 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2018/04/03 01:25:34 | Java Service Wrapper Professional Edition 64-bit 3.5.17
STATUS | wrapper  | 2018/04/03 01:25:34 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/04/03 01:25:34 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/04/03 01:25:34 |   Licensed to Hewlett-Packard Company for OO Server
STATUS | wrapper  | 2018/04/03 01:25:34 | 
STATUS | wrapper  | 2018/04/03 01:25:34 | Launching a JVM...
INFO   | jvm 1    | 2018/04/03 01:25:34 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=256m; support was removed in 8.0
INFO   | jvm 1    | 2018/04/03 01:25:34 | WrapperManager: Initializing...
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.SetAllPropertiesRule begin
INFO   | jvm 1    | 2018/04/03 01:25:35 | WARNING: [SetAllPropertiesRule]{Server/Service/Connector} Setting property 'sendReasonPhrase' to 'true' did not find a matching property.
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
INFO   | jvm 1    | 2018/04/03 01:25:35 | INFO: Server version:        Tomcat
INFO   | jvm 1    | 2018/04/03 01:25:35 | Apr 03, 2018 1:25:35 AM org.apache.catalina.startup.VersionLoggerListener log
